algorithm,function,seed_type,seed,best_f
HC,rosenbrock,final,107,86.6119473237463
HC,rosenbrock,final,108,41.10632664280981
HC,rosenbrock,final,109,102.86543866593274
HC,rosenbrock,final,110,86.26339309214141
HC,rosenbrock,final,111,103.34916519795972
HC,rosenbrock,final,112,84.37462466353685
HC,rosenbrock,final,113,60.32344231466953
HC,rosenbrock,final,114,61.027363010851644
HC,rosenbrock,final,115,78.05864604776852
HC,rosenbrock,final,116,89.66337628365056
HC,rosenbrock,final,117,66.71520636094864
HC,rosenbrock,final,118,75.9787205290824
HC,rosenbrock,final,119,85.97713582252726
SA,rosenbrock,pilot,0,217.99053640606866
SA,rosenbrock,pilot,1,105.26505235313343
SA,rosenbrock,pilot,2,173.76711088264383
SA,rosenbrock,pilot,3,259.0242478482112
SA,rosenbrock,pilot,4,341.1596599928511
SA,rosenbrock,final,100,170.39592645513434
SA,rosenbrock,final,101,296.55274620521715
SA,rosenbrock,final,102,308.2743596053266
SA,rosenbrock,final,103,225.71552784828054
SA,rosenbrock,final,104,135.7835548351706
SA,rosenbrock,final,105,255.42231115449545
SA,rosenbrock,final,106,393.6431790378767
SA,rosenbrock,final,107,187.91123874061
SA,rosenbrock,final,108,131.8977030730976
SA,rosenbrock,final,109,153.5702635458797
SA,rosenbrock,final,110,360.0996891930729
SA,rosenbrock,final,111,293.26458142930187
SA,rosenbrock,final,112,155.55956391319376
SA,rosenbrock,final,113,183.58073311182216
SA,rosenbrock,final,114,201.4329528210713
SA,rosenbrock,final,115,214.50954219721444
SA,rosenbrock,final,116,335.39064287364005
SA,rosenbrock,final,117,169.59693298776367
SA,rosenbrock,final,118,135.55083636582367
SA,rosenbrock,final,119,418.2194931199622
ES,rosenbrock,pilot,0,769.9876549136159
ES,rosenbrock,pilot,1,872.455795978987
ES,rosenbrock,pilot,2,625.3575042568184
ES,rosenbrock,pilot,3,425.50636671213545
ES,rosenbrock,pilot,4,255.78104255920664
ES,rosenbrock,final,100,628.3155433970528
ES,rosenbrock,final,101,510.6416372417354
ES,rosenbrock,final,102,321.7527984031117
ES,rosenbrock,final,103,622.7707360622998
ES,rosenbrock,final,104,534.8720771610471
ES,rosenbrock,final,105,801.2925721349544
ES,rosenbrock,final,106,494.9780534806119
ES,rosenbrock,final,107,408.5637406512018
ES,rosenbrock,final,108,420.3667898319178
ES,rosenbrock,final,109,431.10856808788435
ES,rosenbrock,final,110,441.45643261856884
ES,rosenbrock,final,111,549.4692572966524
ES,rosenbrock,final,112,502.31825095263684
ES,rosenbrock,final,113,624.2979533312426
ES,rosenbrock,final,114,902.2377731511675
ES,rosenbrock,final,115,463.46589873059014
ES,rosenbrock,final,116,665.5157111059432
ES,rosenbrock,final,117,482.6286660510107
ES,rosenbrock,final,118,762.2755769196449
ES,rosenbrock,final,119,504.4817441249324
GA,rosenbrock,pilot,0,22.18345410284881
GA,rosenbrock,pilot,1,30.034511303460775
GA,rosenbrock,pilot,2,10.971920622987064
GA,rosenbrock,pilot,3,8.176661835753508
GA,rosenbrock,pilot,4,8.016376563450466
GA,rosenbrock,final,100,21.9204892330825
GA,rosenbrock,final,101,10.98404265850737
GA,rosenbrock,final,102,10.484256547231542
GA,rosenbrock,final,103,14.216223116305626
GA,rosenbrock,final,104,83.00312380114953
GA,rosenbrock,final,105,24.604686291259764
GA,rosenbrock,final,106,74.6182985602361
GA,rosenbrock,final,107,31.342596718861625
GA,rosenbrock,final,108,9.405247842993163
GA,rosenbrock,final,109,7.376915163751109
GA,rosenbrock,final,110,8.088558674668946
GA,rosenbrock,final,111,10.612389672003037
GA,rosenbrock,final,112,25.898929936469184
GA,rosenbrock,final,113,63.949299543251115
GA,rosenbrock,final,114,60.230554651206866
GA,rosenbrock,final,115,91.15409379910258
GA,rosenbrock,final,116,13.310199626968613
GA,rosenbrock,final,117,41.28118158534723
GA,rosenbrock,final,118,13.420723356226802
GA,rosenbrock,final,119,69.0370809533483
